nombre,precio,ubicacion,enlace,habitaciones,baños,metros_cuadrados
"Renta de apartamento en Zona 14, Santa Inés ...","$ 2,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/renta-de-apartamento-en-zona-14-santa-ines-del-parque-de-2-dormitorios-daa43462/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 152 m2
Apartamento en alquiler zona 14 Santa Inés d...,"$ 2,200 + IVA","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-zona-14-santa-ines-del-parque-daa42948/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 150 m2
Apartamento en alquiler zona 14 Santa Inés d...,"$ 3,499","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-zona-14-santa-ines-de-3-habitaciones-amueblado-daa42144/,Dormitorios: 3,Baños: 3.5,Tamaño de la propiedad: 252 m2
Apartamento en alquiler zona 14  de 3 dormit...,"$ 3,499","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-santa-ines-zona-14-amueblado-de-3-dormitorios-daa41616/,Dormitorios: 3,Baños: 3.5,Tamaño de la propiedad: 252 m2
"Apartamento en Renta en Edificio Tadeus, zon...","$ 2,200 $","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-en-edificio-tadeus-zona-14-ciudad-de-guatemala-caa13501/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 295 m2
Exclusivo  apartamento  en renta Tiffany zon...,"$ 3,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/exclusivo-apartamento-en-renta-tiffany-zona-14-caa13500/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 202 m2
APARTAMENTO ALQUILER ATTICA 2,"$ 1,500","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-alquiler-attica-2-daa43655/,Dormitorios: 2,Baños: 3.5,Tamaño de la propiedad: 193 m2
"ALQUILER APARTAMENTO ZONA 14, AMUEBLADO","$ 1,800 VER DETALLES","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/alquiler-apartamento-zona-14-amueblado-daa43643/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 125 m2
APARTAMENTO EN RENTA ZONA 14 SANTA INES DEL ...,"$ 2,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-zona-14-santa-ines-del-parque-daa43641/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 160 m2
"Renta de apartamento en Zona 14, Santa Inés ...","$ 2,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/renta-de-apartamento-en-zona-14-santa-ines-del-parque-de-2-dormitorios-daa43462/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 152 m2
Apartamento en alquiler zona 14 Santa Inés d...,"$ 2,200 + IVA","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-zona-14-santa-ines-del-parque-daa42948/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 150 m2
Apartamento en alquiler zona 14 Santa Inés d...,"$ 3,499","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-zona-14-santa-ines-de-3-habitaciones-amueblado-daa42144/,Dormitorios: 3,Baños: 3.5,Tamaño de la propiedad: 252 m2
Apartamento en alquiler zona 14  de 3 dormit...,"$ 3,499","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-santa-ines-zona-14-amueblado-de-3-dormitorios-daa41616/,Dormitorios: 3,Baños: 3.5,Tamaño de la propiedad: 252 m2
Zona 14 apartamento Bonaire en renta,"$ 1,100","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/zona-14-apartamento-bonaire-en-renta-caa13528/,Dormitorios: 3,Baños: 2.5,Tamaño del lote del Inmueble: 10 m2
Zona 14 | Apto 1 Habitación en ALQUILER,$ 850 Poco Negociables + IVA,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/zona-14-apto-1-habitacion-en-alquiler-caa13527/,Dormitorios: 1,Baños: 1,Tamaño de la propiedad: 100 m2
"ALQUILER APARTAMENTO ZONA 14, AMUEBLADO","$ 1,950 VER DETALLES","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/alquiler-apartamento-zona-14-amueblado-daa43706/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 228 m2
"ALQUILER APARTAMENTO ZONA 14, LAS CONCHAS","$ 2,100 VER DETALLES","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/alquiler-apartamento-zona-14-las-conchas-caa13525/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 290 m2
"ALQUILER APARTAMENTO ZONA 14, ECHO","$ 2,500 VER DETALLES","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/alquiler-apartamento-zona-14-echo-daa43704/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 146 m2
APARTAMENTO EN RENTA ZONA 14,"$ 2,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43639/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 295 m2
"Apartamento en renta en Tadeus, zona 14.","$ 2,800","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-en-tadeus-zona-14-daa43636/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 295 m2
Apartamento en Renta Zona 14,"$ 2,200 USD","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43631/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 295 m2
APARTAMENTO EN RENTA TADEUS ZONA 14,"$ 2,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-tadeus-zona-14-daa43629/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 295 m2
RENTA APARTAMENTO BENEVENTO,$ 900 AMOBLADO,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/renta-apartamento-benevento-daa43626/,Dormitorios: 1,Baños: 1,Tamaño de la propiedad: 96 m2
Apartamento en ECHO zona 14,"$ 2,500 mant incluido + iva","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-echo-zona-14-daa43616/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 145 m2
